experiment_id,pipeline_name,node_name,model_variant,cpu_request,gpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,video,yolo,yolov5s,5,16,4Gi,1,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
2,video,yolo,yolov5s,5,16,4Gi,1,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
3,video,yolo,yolov5s,5,16,4Gi,1,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
4,video,yolo,yolov5s,5,16,4Gi,1,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
5,video,yolo,yolov5s,5,16,4Gi,1,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
6,video,yolo,yolov5s,5,16,4Gi,1,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
7,video,yolo,yolov5s,5,16,4Gi,1,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
8,video,yolo,yolov5s,5,16,4Gi,2,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
9,video,yolo,yolov5s,5,16,4Gi,2,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
10,video,yolo,yolov5s,5,16,4Gi,2,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
11,video,yolo,yolov5s,5,16,4Gi,2,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
12,video,yolo,yolov5s,5,16,4Gi,2,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
13,video,yolo,yolov5s,5,16,4Gi,2,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
14,video,yolo,yolov5s,5,16,4Gi,2,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
15,video,yolo,yolov5s,5,16,4Gi,4,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
16,video,yolo,yolov5s,5,16,4Gi,4,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
17,video,yolo,yolov5s,5,16,4Gi,4,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
18,video,yolo,yolov5s,5,16,4Gi,4,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
19,video,yolo,yolov5s,5,16,4Gi,4,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
20,video,yolo,yolov5s,5,16,4Gi,4,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
21,video,yolo,yolov5s,5,16,4Gi,4,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
22,video,yolo,yolov5s,5,16,4Gi,8,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
23,video,yolo,yolov5s,5,16,4Gi,8,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
24,video,yolo,yolov5s,5,16,4Gi,8,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
25,video,yolo,yolov5s,5,16,4Gi,8,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
26,video,yolo,yolov5s,5,16,4Gi,8,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
27,video,yolo,yolov5s,5,16,4Gi,8,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
28,video,yolo,yolov5s,5,16,4Gi,8,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
29,video,yolo,yolov5s,5,16,4Gi,16,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
30,video,yolo,yolov5s,5,16,4Gi,16,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
31,video,yolo,yolov5s,5,16,4Gi,16,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
32,video,yolo,yolov5s,5,16,4Gi,16,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
33,video,yolo,yolov5s,5,16,4Gi,16,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
34,video,yolo,yolov5s,5,16,4Gi,16,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
35,video,yolo,yolov5s,5,16,4Gi,16,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
36,video,yolo,yolov5s,5,16,4Gi,32,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
37,video,yolo,yolov5s,5,16,4Gi,32,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
38,video,yolo,yolov5s,5,16,4Gi,32,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
39,video,yolo,yolov5s,5,16,4Gi,32,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
40,video,yolo,yolov5s,5,16,4Gi,32,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
41,video,yolo,yolov5s,5,16,4Gi,32,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
42,video,yolo,yolov5s,5,16,4Gi,32,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
43,video,yolo,yolov5s,5,16,4Gi,64,1,1,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
44,video,yolo,yolov5s,5,16,4Gi,64,1,5,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
45,video,yolo,yolov5s,5,16,4Gi,64,1,10,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
46,video,yolo,yolov5s,5,16,4Gi,64,1,30,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
47,video,yolo,yolov5s,5,16,4Gi,64,1,40,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
48,video,yolo,yolov5s,5,16,4Gi,64,1,80,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
49,video,yolo,yolov5s,5,16,4Gi,64,1,160,60,105,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
